,Instancia,Tiempo ejecucion,Volumen Ocupado,Diferencia centro,alpha,beta,gamma,delta,p
34,34,0.33330464363098145,18942520,4.0567888107403745,1,0,0,1,0
35,35,0.44240307807922363,21877644,8.962537319450316,1,0,0,1,0
36,36,0.3144803047180176,21921832,12.457989731595937,1,0,0,1,0
37,37,0.2890899181365967,20284632,18.653265273188378,1,0,0,1,0
38,38,0.5382254123687744,24838139,3.0480725260570045,1,0,0,1,0
39,39,0.1620171070098877,20295501,9.655894469130791,1,0,0,1,0
40,40,0.2772514820098877,21390992,12.653825896914535,1,0,0,1,0
41,41,0.2970707416534424,20452532,25.025120589328708,1,0,0,1,0
42,42,0.36686062812805176,21363536,12.790682302444365,1,0,0,1,0
43,43,0.24372649192810059,16765298,22.67688921173241,1,0,0,1,0
44,44,0.2994084358215332,17627852,15.589857258789857,1,0,0,1,0
45,45,0.25794076919555664,22665580,15.880871235217029,1,0,0,1,0
46,46,0.22071385383605957,19493104,6.793669976688143,1,0,0,1,0
47,47,0.40142107009887695,23339294,14.14601600181549,1,0,0,1,0
48,48,0.3121764659881592,25436567,17.8751491696292,1,0,0,1,0
49,49,0.3869609832763672,20079240,11.316427695499339,1,0,0,1,0
50,50,0.4432253837585449,21486193,16.422548645961577,1,0,0,1,0
51,51,0.305436372756958,19187660,8.2132465828848,1,0,0,1,0
52,52,0.252216100692749,19499130,28.77959268857242,1,0,0,1,0
53,53,0.30408406257629395,17669904,15.365829940985515,1,0,0,1,0
54,54,0.28325796127319336,17941216,25.391507964015553,1,0,0,1,0
55,55,0.6866238117218018,22512114,3.707080113384087,1,0,0,1,0
56,56,0.3532595634460449,18676793,6.754463355098477,1,0,0,1,0
57,57,0.2709486484527588,20916377,17.382225518291868,1,0,0,1,0
58,58,0.3983621597290039,22498308,8.498004305121977,1,0,0,1,0
59,59,0.23221135139465332,18585112,28.62346523063925,1,0,0,1,0
60,60,0.4574155807495117,18325732,18.87655996909229,1,0,0,1,0
61,61,0.33830738067626953,23334227,16.47132678762462,1,0,0,1,0
62,62,0.329803466796875,23153888,18.829144263693998,1,0,0,1,0
63,63,0.29463934898376465,18573302,4.368608877723929,1,0,0,1,0
64,64,0.40697407722473145,21975900,4.124353096572763,1,0,0,1,0
65,65,0.31336522102355957,20797157,5.698876640048872,1,0,0,1,0
66,66,0.33489370346069336,20583360,26.17257534352544,1,0,0,1,0
67,67,0.27269911766052246,21972000,2.6290915118115046,1,0,0,1,0
68,68,0.3040280342102051,20150627,48.19217264125406,1,0,0,1,0
69,69,0.2601161003112793,20147372,6.744300043908982,1,0,0,1,0
70,70,0.2837483882904053,20456750,6.128822794609783,1,0,0,1,0
71,71,0.3212924003601074,20946343,4.9204375081343485,1,0,0,1,0
72,72,0.2755162715911865,23142886,6.670097040355542,1,0,0,1,0
73,73,0.29882097244262695,17384086,17.06038713624512,1,0,0,1,0
74,74,0.266735315322876,16878512,18.677264965442195,1,0,0,1,0
75,75,0.3118605613708496,22454168,24.9483028028631,1,0,0,1,0
76,76,0.21619701385498047,18337340,17.09599326037888,1,0,0,1,0
77,77,0.28125572204589844,21759000,7.749127495871049,1,0,0,1,0
78,78,0.5759289264678955,21115224,6.529703933608305,1,0,0,1,0
79,79,0.2740898132324219,21586979,11.411159091617154,1,0,0,1,0
80,80,0.2104043960571289,18607920,6.963535842916503,1,0,0,1,0
81,81,0.32738566398620605,22564622,18.85936218803457,1,0,0,1,0
82,82,0.3119533061981201,21012117,5.468754812246654,1,0,0,1,0
83,83,0.25123023986816406,20859032,21.13895071369398,1,0,0,1,0
84,84,0.32829761505126953,19865078,14.226298307839368,1,0,0,1,0
85,85,0.3114438056945801,21158308,5.093203883295486,1,0,0,1,0
86,86,0.3200497627258301,19557616,16.634936511608498,1,0,0,1,0
87,87,0.326096773147583,19535192,13.598305260569921,1,0,0,1,0
88,88,0.23187756538391113,21297104,11.44308930514244,1,0,0,1,0
89,89,0.3043844699859619,20030022,31.93047369648796,1,0,0,1,0
90,90,0.3946526050567627,23216447,19.340908669981104,1,0,0,1,0
91,91,0.3026731014251709,20056325,13.544755881319961,1,0,0,1,0
92,92,0.3423123359680176,20386482,15.529859887169946,1,0,0,1,0
93,93,0.3393080234527588,24773676,12.442239654693491,1,0,0,1,0
94,94,0.21992278099060059,18966498,23.616466983932803,1,0,0,1,0
95,95,0.3106551170349121,25447570,4.089582648080258,1,0,0,1,0
96,96,0.3521914482116699,22229978,9.952072900989624,1,0,0,1,0
97,97,0.3401665687561035,22187372,17.16922198038365,1,0,0,1,0
98,98,0.36522388458251953,22241230,7.104368374470868,1,0,0,1,0
99,99,0.31850147247314453,23781970,14.617951704226858,1,0,0,1,0
